pin,signal,direction_at_a203,owner,fpga_ball,bank,disposition,confidence
65,MUTE,verify,fpga,A13,0,route as status with safe pull footprint,meaning documented; direction and polarity unconfirmed
66,GND,power,,,connect ground,documented
67,GPIO6,bidirectional,fpga,E11,0,route through series resistor for vendor-defined control,direction unconfirmed
68,EXTERNL_CLK,input,fpga,B5,0,route from clock mux; confirm this is SCLK_IN,documented pin; identity ambiguous
69,GPIO7,bidirectional,fpga,B14,0,route through series resistor for vendor-defined control,direction unconfirmed
70,SCLK,output,fpga,C9,0,clock-capable input with source-series option,documented audio clock output
71,GND,power,,,connect ground,documented
72,GND,power,,,connect ground,documented
73,COMS_RS_232_TX_A,output,fpga,L10,2,route as optional control UART; confirm CMOS levels,naming inference
74,SPI_MOSI_A,output,debug_header,,,optional header through selection resistor,documented SPI master role
75,COMS_RS_232_RX_A,input,fpga,M10,2,route as optional control UART; confirm CMOS levels,naming inference
76,MCLK,output,fpga,A9,0,clock-capable input with source-series option,documented audio clock output
77,GND,power,,,connect ground,documented
78,GND,power,,,connect ground,documented
79,COMS_RS_232_OE_A,input,fpga,R9,2,route as optional control UART; verify polarity,direction unconfirmed
80,LRCLK_IN,input,fpga,A5,0,route from exclusive clock-owner mux,documented audio clock input
81,GND,power,,,connect ground,documented
82,LRCLK,output,fpga,B10,0,clock-capable input with source-series option,documented audio clock output
83,GND,power,,,connect ground,documented
84,GND,power,,,connect ground,documented
85,SDOUT0,output,fpga,D5,0,route through series resistor,documented audio output
86,FPGA_DONE,input,fpga,F10,0,drive only after FPGA configuration and safe state,naming inference
87,SDOUT1,output,fpga,C5,0,route through series resistor,documented audio output
88,PA10_RXD1,verify,debug_header,,,module debug signal; header or NC,undocumented behavior
89,SDOUT2,output,fpga,B6,0,route through series resistor,documented audio output
90,PA9_TXD1,verify,debug_header,,,module debug signal; header or NC,undocumented behavior
91,SDOUT3,output,fpga,A6,0,route through series resistor,documented audio output
92,nRESET_IN,input,reset_supervisor,,,open-drain reset network also observable by FPGA,documented name; timing unconfirmed
93,GND,power,,,connect ground,documented
94,GND,power,,,connect ground,documented
95,SDOUT4,output,fpga,F7,0,route through series resistor,documented audio output
96,PA13_TMS,verify,module_debug,,,module debug header only,debug naming inference
97,SDOUT5,output,fpga,E6,0,route through series resistor,documented audio output
98,PA14_TCK,verify,module_debug,,,module debug header only,debug naming inference
99,SDOUT6,output,fpga,C7,0,route through series resistor,documented audio output
100,nSPI_Flash_CS,output,module_flash,,,module-local flash function; do not connect FPGA,naming inference
101,SDOUT7,output,fpga,A7,0,route through series resistor,documented audio output
102,GND,power,,,connect ground,documented
103,GND,power,,,connect ground,documented
104,TDO,output,module_debug,,,module JTAG header only,documented name
105,SDIN0,input,fpga,D6,0,route through series resistor,documented audio input
106,TCK,input,module_debug,,,module JTAG header only,documented name
107,SDIN1,input,fpga,C6,0,route through series resistor,documented audio input
108,TDI,input,module_debug,,,module JTAG header only,documented name
109,SDIN2,input,fpga,E7,0,route through series resistor,documented audio input
110,TMS,input,module_debug,,,module JTAG header only,documented name
111,SDIN3,input,fpga,E8,0,route through series resistor,documented audio input
112,GND,power,,,connect ground,documented
113,GND,power,,,connect ground,documented
114,3.3V,input,power,,,connect to measured A203 3.3V rail,documented
115,SDIN4,input,fpga,E10,0,route through series resistor,documented audio input
116,3.3V,input,power,,,connect to measured A203 3.3V rail,documented
117,SDIN5,input,fpga,C10,0,route through series resistor,documented audio input
118,3.3V,input,power,,,connect to measured A203 3.3V rail,documented
119,SDIN6,input,fpga,D8,0,route through series resistor,documented audio input
120,3.3V,input,power,,,connect to measured A203 3.3V rail,documented
121,SDIN7,input,fpga,C8,0,route through series resistor,documented audio input
122,3.3V,input,power,,,connect to measured A203 3.3V rail,documented
123,1V1,output,module,,,no load; test pad only after vendor limit supplied,documented voltage only
124,1V1,output,module,,,no load; test pad only after vendor limit supplied,documented voltage only
